tour;joueur;ligne;colonne;win_by
0;X;0;2;not_finished
1;O;2;0;not_finished
2;X;0;1;not_finished
3;O;1;0;not_finished
4;X;1;1;not_finished
5;O;2;2;not_finished
6;X;0;0;X
0;X;1;2;not_finished
1;O;0;2;not_finished
2;X;0;1;not_finished
3;O;2;1;not_finished
4;X;0;0;not_finished
5;O;1;1;not_finished
6;X;2;0;not_finished
7;O;2;2;not_finished
8;X;1;0;X
0;X;1;2;not_finished
1;O;0;1;not_finished
2;X;0;2;not_finished
3;O;1;0;not_finished
4;X;0;0;not_finished
5;O;2;2;not_finished
6;X;2;1;not_finished
7;O;1;1;not_finished
8;X;2;0;draw
0;X;1;1;not_finished
1;O;0;2;not_finished
2;X;0;0;not_finished
3;O;2;1;not_finished
4;X;1;0;not_finished
5;O;1;2;not_finished
6;X;0;1;not_finished
7;O;2;0;not_finished
8;X;2;2;X
0;X;0;2;not_finished
1;O;0;1;not_finished
2;X;1;2;not_finished
3;O;1;0;not_finished
4;X;0;0;not_finished
5;O;2;0;not_finished
6;X;2;1;not_finished
7;O;2;2;not_finished
8;X;1;1;draw
0;X;0;2;not_finished
1;O;0;0;not_finished
2;X;0;1;not_finished
3;O;1;1;not_finished
4;X;1;0;not_finished
5;O;1;2;not_finished
6;X;2;0;not_finished
7;O;2;2;O
0;X;1;1;not_finished
1;O;1;1;not_finished
2;X;2;1;not_finished
3;O;2;1;not_finished
4;X;2;0;not_finished
5;O;2;0;not_finished
6;X;0;1;X
